country_name_short,election_date,start_date,cabinet_name,caretaker,cabinet_party,prime_minister,seats,election_seats_total,party_name_short,party_name,party_name_english,left_right,country_id,election_id,cabinet_id,previous_cabinet_id,party_id
AUS,1946-09-28,1946-11-01,Chifley II,0,1,1,43,74,ALP,Australian Labor Party,Australian Labor Party,3.1,33,92,490,574,1253
AUS,1946-09-28,1946-11-01,Chifley II,0,0,0,1,74,LLP,Lang Labour Party,Lang Labour Party,,33,92,490,574,303
AUS,1946-09-28,1946-11-01,Chifley II,0,0,0,17,74,LPA,Liberal Party of Australia,Liberal Party of Australia,7.15555555556,33,92,490,574,1411
AUS,1946-09-28,1946-11-01,Chifley II,0,0,0,12,74,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,8.06666666667,33,92,490,574,184
AUS,1946-09-28,1946-11-01,Chifley II,0,0,0,1,74,none,no party affiliation,no party affiliation,,33,92,490,574,1396
AUS,1949-12-10,1949-12-19,Menzies IV,0,0,0,47,121,ALP,Australian Labor Party,Australian Labor Party,3.1,33,494,450,490,1253
AUS,1949-12-10,1949-12-19,Menzies IV,0,1,1,55,121,LPA,Liberal Party of Australia,Liberal Party of Australia,7.15555555556,33,494,450,490,1411
AUS,1949-12-10,1949-12-19,Menzies IV,0,1,0,19,121,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,8.06666666667,33,494,450,490,184
AUS,1951-04-28,1951-05-11,Menzies V,0,0,0,52,121,ALP,Australian Labor Party,Australian Labor Party,3.1,33,569,566,450,1253
AUS,1951-04-28,1951-05-11,Menzies V,0,1,1,52,121,LPA,Liberal Party of Australia,Liberal Party of Australia,7.15555555556,33,569,566,450,1411
AUS,1951-04-28,1951-05-11,Menzies V,0,1,0,17,121,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,8.06666666667,33,569,566,450,184
AUS,1954-05-29,1954-07-09,Menzies VI,0,0,0,57,121,ALP,Australian Labor Party,Australian Labor Party,3.1,33,212,178,566,1253
AUS,1954-05-29,1954-07-09,Menzies VI,0,1,1,47,121,LPA,Liberal Party of Australia,Liberal Party of Australia,7.15555555556,33,212,178,566,1411
AUS,1954-05-29,1954-07-09,Menzies VI,0,1,0,17,121,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,8.06666666667,33,212,178,566,184
AUS,1955-12-10,1956-01-11,Menzies VII,0,0,0,47,122,ALP,Australian Labor Party,Australian Labor Party,3.1,33,438,479,178,1253
AUS,1955-12-10,1956-01-11,Menzies VII,0,1,1,57,122,LPA,Liberal Party of Australia,Liberal Party of Australia,7.15555555556,33,438,479,178,1411
AUS,1955-12-10,1956-01-11,Menzies VII,0,1,0,18,122,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,8.06666666667,33,438,479,178,184
AUS,1958-11-22,1958-12-10,Menzies IIX,0,0,0,45,122,ALP,Australian Labor Party,Australian Labor Party,3.1,33,465,627,479,1253
AUS,1958-11-22,1958-12-10,Menzies IIX,0,1,1,58,122,LPA,Liberal Party of Australia,Liberal Party of Australia,7.15555555556,33,465,627,479,1411
AUS,1958-11-22,1958-12-10,Menzies IIX,0,1,0,19,122,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,8.06666666667,33,465,627,479,184
AUS,1961-12-09,1961-12-22,Menzies IX,0,0,0,60,122,ALP,Australian Labor Party,Australian Labor Party,3.1,33,537,288,627,1253
AUS,1961-12-09,1961-12-22,Menzies IX,0,1,1,45,122,LPA,Liberal Party of Australia,Liberal Party of Australia,7.15555555556,33,537,288,627,1411
AUS,1961-12-09,1961-12-22,Menzies IX,0,1,0,17,122,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,8.06666666667,33,537,288,627,184
AUS,1963-11-30,1963-12-18,Menzies X,0,0,0,50,122,ALP,Australian Labor Party,Australian Labor Party,3.1,33,626,786,288,1253
AUS,1963-11-30,1963-12-18,Menzies X,0,1,1,52,122,LPA,Liberal Party of Australia,Liberal Party of Australia,7.15555555556,33,626,786,288,1411
AUS,1963-11-30,1963-12-18,Menzies X,0,1,0,20,122,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,8.06666666667,33,626,786,288,184
AUS,1963-11-30,1966-01-26,Holt I,0,0,0,50,122,ALP,Australian Labor Party,Australian Labor Party,3.1,33,626,261,786,1253
AUS,1963-11-30,1966-01-26,Holt I,0,1,1,52,122,LPA,Liberal Party of Australia,Liberal Party of Australia,7.15555555556,33,626,261,786,1411
AUS,1963-11-30,1966-01-26,Holt I,0,1,0,20,122,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,8.06666666667,33,626,261,786,184
AUS,1966-11-26,1966-12-14,Holt II,0,0,0,41,124,ALP,Australian Labor Party,Australian Labor Party,3.1,33,489,67,261,1253
AUS,1966-11-26,1966-12-14,Holt II,0,1,1,61,124,LPA,Liberal Party of Australia,Liberal Party of Australia,7.15555555556,33,489,67,261,1411
AUS,1966-11-26,1966-12-14,Holt II,0,1,0,21,124,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,8.06666666667,33,489,67,261,184
AUS,1966-11-26,1966-12-14,Holt II,0,0,0,1,124,none,no party affiliation,no party affiliation,,33,489,67,261,1396
AUS,1966-11-26,1967-12-19,McEwen,0,0,0,41,124,ALP,Australian Labor Party,Australian Labor Party,3.1,33,489,634,67,1253
AUS,1966-11-26,1967-12-19,McEwen,0,1,0,61,124,LPA,Liberal Party of Australia,Liberal Party of Australia,7.15555555556,33,489,634,67,1411
AUS,1966-11-26,1967-12-19,McEwen,0,1,1,21,124,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,8.06666666667,33,489,634,67,184
AUS,1966-11-26,1967-12-19,McEwen,0,0,0,1,124,none,no party affiliation,no party affiliation,,33,489,634,67,1396
AUS,1966-11-26,1968-01-10,Gorton I,0,0,0,41,124,ALP,Australian Labor Party,Australian Labor Party,3.1,33,489,1,634,1253
AUS,1966-11-26,1968-01-10,Gorton I,0,1,1,61,124,LPA,Liberal Party of Australia,Liberal Party of Australia,7.15555555556,33,489,1,634,1411
AUS,1966-11-26,1968-01-10,Gorton I,0,1,0,21,124,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,8.06666666667,33,489,1,634,184
AUS,1966-11-26,1968-01-10,Gorton I,0,0,0,1,124,none,no party affiliation,no party affiliation,,33,489,1,634,1396
AUS,1969-10-25,1969-11-12,Gorton II,0,0,0,59,125,ALP,Australian Labor Party,Australian Labor Party,3.1,33,426,795,1,1253
AUS,1969-10-25,1969-11-12,Gorton II,0,1,1,46,125,LPA,Liberal Party of Australia,Liberal Party of Australia,7.15555555556,33,426,795,1,1411
AUS,1969-10-25,1969-11-12,Gorton II,0,1,0,20,125,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,8.06666666667,33,426,795,1,184
AUS,1969-10-25,1971-03-10,McMahon,0,0,0,59,125,ALP,Australian Labor Party,Australian Labor Party,3.1,33,426,671,795,1253
AUS,1969-10-25,1971-03-10,McMahon,0,1,1,46,125,LPA,Liberal Party of Australia,Liberal Party of Australia,7.15555555556,33,426,671,795,1411
AUS,1969-10-25,1971-03-10,McMahon,0,1,0,20,125,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,8.06666666667,33,426,671,795,184
AUS,1972-12-02,1972-12-19,Whitlam I,0,1,1,67,125,ALP,Australian Labor Party,Australian Labor Party,3.1,33,141,507,671,1253
AUS,1972-12-02,1972-12-19,Whitlam I,0,0,0,38,125,LPA,Liberal Party of Australia,Liberal Party of Australia,7.15555555556,33,141,507,671,1411
AUS,1972-12-02,1972-12-19,Whitlam I,0,0,0,20,125,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,8.06666666667,33,141,507,671,184
AUS,1974-05-18,1974-06-12,Whitlam II,0,1,1,66,127,ALP,Australian Labor Party,Australian Labor Party,3.1,33,270,844,507,1253
AUS,1974-05-18,1974-06-12,Whitlam II,0,0,0,40,127,LPA,Liberal Party of Australia,Liberal Party of Australia,7.15555555556,33,270,844,507,1411
AUS,1974-05-18,1974-06-12,Whitlam II,0,0,0,21,127,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,8.06666666667,33,270,844,507,184
AUS,1974-05-18,1975-11-11,Fraser I,1,0,0,66,127,ALP,Australian Labor Party,Australian Labor Party,3.1,33,270,720,844,1253
AUS,1974-05-18,1975-11-11,Fraser I,1,1,1,40,127,LPA,Liberal Party of Australia,Liberal Party of Australia,7.15555555556,33,270,720,844,1411
AUS,1974-05-18,1975-11-11,Fraser I,1,1,0,21,127,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,8.06666666667,33,270,720,844,184
